,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
99,527,b'111',b'00006',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',0.0,4
100,528,b'111',b'00010',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',5290.0,4
101,529,b'111',b'00009',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1520.0,4
102,530,b'111',b'00003',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',12878.0,4
103,531,b'111',b'00012',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',278.0,4
104,532,b'111',b'00011',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
105,533,b'111',b'00007',1112,1700747323.013241,DRB.UEThpDl.UEID,-1.0,43.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
106,540,b'111',b'00001',1113,1700747323.0547645,DRB.UEThpDl.UEID,-1.0,5.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',945.0,4
107,541,b'111',b'00005',1113,1700747323.0547645,DRB.UEThpDl.UEID,-1.0,5.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',0.0,4
108,548,b'111',b'00002',1115,1700747323.0955527,DRB.UEThpDl.UEID,-1.0,60.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',3341.0,4
109,549,b'111',b'00004',1115,1700747323.0955527,DRB.UEThpDl.UEID,-1.0,60.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1456.0,4
110,579,b'111',b'00003',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',4043.0,4
111,580,b'111',b'00010',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',5290.0,4
112,581,b'111',b'00012',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',549.0,4
113,582,b'111',b'00006',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1588.0,4
114,583,b'111',b'00011',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
115,584,b'111',b'00009',1112,1700747347.3802683,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1742.0,4
116,591,b'111',b'00002',1115,1700747347.424143,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',3538.0,4
117,592,b'111',b'00004',1115,1700747347.424143,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',2173.0,4
118,599,b'111',b'00005',1113,1700747347.4669042,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',0.0,4
119,600,b'111',b'00001',1113,1700747347.4669042,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',1037.0,4
120,604,b'111',b'00007',1114,1700747347.498828,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'64\x00\xbb\xf0',23653.0,4
121,628,b'111',b'00009',1112,1700747375.7631264,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',2208.0,4
122,629,b'111',b'00006',1112,1700747375.7631264,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',919.0,4
123,630,b'111',b'00011',1112,1700747375.7631264,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
124,631,b'111',b'00012',1112,1700747375.7631264,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',499.0,4
125,641,b'111',b'00005',1113,1700747375.814346,DRB.UEThpDl.UEID,-1.0,34.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',260.0,4
126,642,b'111',b'00010',1113,1700747375.814346,DRB.UEThpDl.UEID,-1.0,34.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',2292.0,4
127,643,b'111',b'00001',1113,1700747375.814346,DRB.UEThpDl.UEID,-1.0,34.0,0.0,139.0,139.0,b'48\x00\xbb\xf0',768.0,4
128,653,b'111',b'00003',1115,1700747375.8668706,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',3854.0,4
129,654,b'111',b'00002',1115,1700747375.8668706,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',2691.0,4
