,Original index,pm-Containers.drbqci,pm-Containers.pDCPBytesDL,pm-Containers.pDCPBytesUL,pm-Containers.pLMN-Identity,pm-Containers.interface-type,list-of-matched-UEs.ueId,timestamp,Test ID
255,178,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746522.5425005,3
256,179,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746522.5425005,3
257,180,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746522.5425005,3
258,181,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746522.5425005,3
259,230,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746550.864469,3
260,231,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746550.864469,3
261,232,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746550.864469,3
262,233,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746550.8762643,3
263,234,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746550.8762643,3
264,235,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746550.8762643,3
265,236,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746550.8762643,3
266,237,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746550.8762643,3
267,238,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746550.8762643,3
268,239,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746550.8762643,3
269,240,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746550.8762643,3
270,285,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746579.203055,3
271,286,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746579.203055,3
272,287,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746579.203055,3
273,288,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746579.203055,3
274,289,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746579.2144208,3
275,290,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746579.2144208,3
276,291,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746579.2144208,3
277,292,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746579.2144208,3
278,293,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746579.2144208,3
279,294,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746579.2144208,3
280,295,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746579.2144208,3
281,296,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746579.2144208,3
282,345,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746607.554732,3
283,346,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746607.554732,3
284,347,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746607.554732,3
285,348,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746607.568583,3
286,349,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746607.568583,3
287,350,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746607.568583,3
288,351,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746607.568583,3
289,352,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746607.568583,3
290,353,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746607.568583,3
291,354,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746607.568583,3
292,355,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746607.568583,3
293,356,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746607.579833,3
294,405,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746631.9268825,3
295,406,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746631.9268825,3
296,407,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746631.9268825,3
297,408,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746631.9268825,3
298,409,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746631.945972,3
299,410,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746631.945972,3
300,411,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746631.945972,3
301,412,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746631.945972,3
302,413,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746631.945972,3
303,414,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746631.945972,3
304,415,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746631.945972,3
305,416,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746631.945972,3
306,465,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746660.382363,3
307,466,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746660.382363,3
308,467,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746660.382363,3
309,468,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746660.382363,3
310,469,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746660.3962705,3
311,470,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746660.3962705,3
312,471,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746660.3962705,3
313,472,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746660.3962705,3
314,473,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746660.3962705,3
315,474,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746660.3962705,3
316,475,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746660.3962705,3
317,476,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746660.3962705,3
318,477,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746660.4063592,3
319,530,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746684.7718558,3
320,531,0.0,0.0,0.0,b'111',x2-u,b'00002',1700746684.7718558,3
321,532,0.0,0.0,0.0,b'111',x2-u,b'00009',1700746684.7861364,3
322,533,0.0,0.0,0.0,b'111',x2-u,b'00010',1700746684.7861364,3
323,534,0.0,0.0,0.0,b'111',x2-u,b'00003',1700746684.7861364,3
324,535,0.0,0.0,0.0,b'111',x2-u,b'00006',1700746684.7861364,3
325,536,0.0,0.0,0.0,b'111',x2-u,b'00007',1700746684.7861364,3
326,537,0.0,0.0,0.0,b'111',x2-u,b'00012',1700746684.7861364,3
327,538,0.0,0.0,0.0,b'111',x2-u,b'00011',1700746684.7861364,3
328,539,0.0,0.0,0.0,b'111',x2-u,b'00005',1700746684.797424,3
329,540,0.0,0.0,0.0,b'111',x2-u,b'00001',1700746684.797424,3
330,585,0.0,0.0,0.0,b'111',x2-u,b'00004',1700746709.1487894,3
