,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
185,306,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
186,314,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,2.0,4
187,315,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,4
188,316,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
189,317,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
190,318,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,2.0,4
191,319,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,4
192,320,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,4.0,4
193,321,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,2.0,4
194,322,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
195,323,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
196,324,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,2.0,4
197,325,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,4
198,341,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,4
199,342,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
200,343,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
201,344,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,5.0,4
202,345,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
203,346,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
