,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
477,0.0,0.0,0.0,b'111',x2-u,b'00002',52.607152700424194,3
478,0.0,0.0,0.0,b'111',x2-u,b'00010',52.607152700424194,3
479,0.0,0.0,0.0,b'111',x2-u,b'00003',52.607152700424194,3
480,0.0,0.0,0.0,b'111',x2-u,b'00001',52.607152700424194,3
481,0.0,0.0,0.0,b'111',x2-u,b'00012',52.61806583404541,3
482,0.0,0.0,0.0,b'111',x2-u,b'00004',52.61806583404541,3
483,0.0,0.0,0.0,b'111',x2-u,b'00011',52.61806583404541,3
484,0.0,0.0,0.0,b'111',x2-u,b'00006',52.61806583404541,3
485,0.0,0.0,0.0,b'111',x2-u,b'00009',52.61806583404541,3
486,0.0,0.0,0.0,b'111',x2-u,b'00007',52.61806583404541,3
487,0.0,0.0,0.0,b'111',x2-u,b'00005',52.61806583404541,3
488,0.0,0.0,0.0,b'111',x2-u,b'00001',76.89535474777222,3
489,0.0,0.0,0.0,b'111',x2-u,b'00002',76.89535474777222,3
490,0.0,0.0,0.0,b'111',x2-u,b'00003',76.89535474777222,3
491,0.0,0.0,0.0,b'111',x2-u,b'00010',76.89535474777222,3
492,0.0,0.0,0.0,b'111',x2-u,b'00011',76.90750813484192,3
493,0.0,0.0,0.0,b'111',x2-u,b'00006',76.90750813484192,3
494,0.0,0.0,0.0,b'111',x2-u,b'00003',76.90750813484192,3
495,0.0,0.0,0.0,b'111',x2-u,b'00005',76.90750813484192,3
496,0.0,0.0,0.0,b'111',x2-u,b'00004',76.90750813484192,3
497,0.0,0.0,0.0,b'111',x2-u,b'00012',76.90750813484192,3
498,0.0,0.0,0.0,b'111',x2-u,b'00007',76.90750813484192,3
499,0.0,0.0,0.0,b'111',x2-u,b'00009',76.90750813484192,3
500,0.0,0.0,0.0,b'111',x2-u,b'00002',105.22947669029236,3
501,0.0,0.0,0.0,b'111',x2-u,b'00001',105.22947669029236,3
502,0.0,0.0,0.0,b'111',x2-u,b'00010',105.22947669029236,3
503,0.0,0.0,0.0,b'111',x2-u,b'00006',105.24127197265625,3
504,0.0,0.0,0.0,b'111',x2-u,b'00004',105.24127197265625,3
505,0.0,0.0,0.0,b'111',x2-u,b'00009',105.24127197265625,3
506,0.0,0.0,0.0,b'111',x2-u,b'00007',105.24127197265625,3
507,0.0,0.0,0.0,b'111',x2-u,b'00011',105.24127197265625,3
508,0.0,0.0,0.0,b'111',x2-u,b'00003',105.24127197265625,3
509,0.0,0.0,0.0,b'111',x2-u,b'00012',105.24127197265625,3
510,0.0,0.0,0.0,b'111',x2-u,b'00005',105.24127197265625,3
511,0.0,0.0,0.0,b'111',x2-u,b'00001',133.56806254386902,3
512,0.0,0.0,0.0,b'111',x2-u,b'00010',133.56806254386902,3
513,0.0,0.0,0.0,b'111',x2-u,b'00012',133.56806254386902,3
514,0.0,0.0,0.0,b'111',x2-u,b'00002',133.56806254386902,3
515,0.0,0.0,0.0,b'111',x2-u,b'00003',133.57942843437195,3
516,0.0,0.0,0.0,b'111',x2-u,b'00012',133.57942843437195,3
517,0.0,0.0,0.0,b'111',x2-u,b'00006',133.57942843437195,3
518,0.0,0.0,0.0,b'111',x2-u,b'00005',133.57942843437195,3
519,0.0,0.0,0.0,b'111',x2-u,b'00009',133.57942843437195,3
520,0.0,0.0,0.0,b'111',x2-u,b'00011',133.57942843437195,3
521,0.0,0.0,0.0,b'111',x2-u,b'00007',133.57942843437195,3
522,0.0,0.0,0.0,b'111',x2-u,b'00004',133.57942843437195,3
523,0.0,0.0,0.0,b'111',x2-u,b'00010',161.91973972320557,3
524,0.0,0.0,0.0,b'111',x2-u,b'00002',161.91973972320557,3
525,0.0,0.0,0.0,b'111',x2-u,b'00001',161.91973972320557,3
526,0.0,0.0,0.0,b'111',x2-u,b'00004',161.93359065055847,3
527,0.0,0.0,0.0,b'111',x2-u,b'00011',161.93359065055847,3
528,0.0,0.0,0.0,b'111',x2-u,b'00007',161.93359065055847,3
529,0.0,0.0,0.0,b'111',x2-u,b'00006',161.93359065055847,3
530,0.0,0.0,0.0,b'111',x2-u,b'00012',161.93359065055847,3
531,0.0,0.0,0.0,b'111',x2-u,b'00005',161.93359065055847,3
532,0.0,0.0,0.0,b'111',x2-u,b'00003',161.93359065055847,3
533,0.0,0.0,0.0,b'111',x2-u,b'00009',161.93359065055847,3
